25,YKR068C,BET3
356,YJL031C,BET4
25,YML077W,BET5
285,YJR053W,BFA1
57,YDR299W,BFR2
121,YFL007W,BLM10
114,YER177W,BMH1
114,YDR099W,BMH2
4,YPL217C,BMS1
366,YER114C,BOI2
210,YDL074C,BRE1
52,YLR015W,BRE2
261,YNR051C,BRE5
86,YBL097W,BRN1
14,YPR057W,BRR1
12,YER172C,BRR2
20,YOL077C,BRX1
389,YPR171W,BSP1
59,YDR252W,BTT1
388,YGR188C,BUB1
388,YOR026W,BUB3
360,YGL174W,BUD13
11,YAR014C,BUD14
281,YLR074C,BUD20
83,YOR078W,BUD21
50,YFL023W,BUD27
16,YCR063W,BUD31
96,YGR262C,BUD32
47,YJR092W,BUD4
309,YLR319C,BUD6
80,YMR275C,BUL1
265,YLR226W,BUR2
32,YHR114W,BZZ1
134,YML102W,CAC2
59,YGR134W,CAF130
75,YOR276W,CAF20
59,YNL288W,CAF40
118,YPL048W,CAM1
100,YKL007W,CAP1
100,YIL034C,CAP2
204,YPL178W,CBC2
337,YLR175W,CBF5
283,YNL161W,CBK1
352,YDL069C,CBS1
122,YKL011C,CCE1
53,YPR025C,CCL1
59,YAL021C,CCR4
182,YMR038C,CCS1
74,YIL142W,CCT2
74,YJL014W,CCT3
74,YDL143W,CCT4
74,YJR064W,CCT5
74,YDR188W,CCT6
331,YJL111W,CCT7
293,YBR131W,CCZ1
47,YCR002C,CDC10
47,YJR076C,CDC11
47,YHR107C,CDC12
26,YLR215C,CDC123
153,YAR019C,CDC15
23,YKL022C,CDC16
150,YAL038W,CDC19
23,YHR166C,CDC23
366,YAL041W,CDC24
166,YLR310C,CDC25
23,YFR036W,CDC26
23,YBL084C,CDC27
43,YBR160W,CDC28
47,YLR314C,CDC3
75,YOL139C,CDC33
27,YDR054C,CDC34
343,YDL165W,CDC36
59,YCR093W,CDC39
16,YDR364C,CDC40
167,YGL155W,CDC43
202,YDL126C,CDC48
79,YMR001C,CDC5
45,YDL132W,CDC53
37,YGL190C,CDC55
15,YLR418C,CDC73
27,YDL164C,CDC9
16,YMR213W,CEF1
224,YGL130W,CEG1
224,YPL228W,CET1
11,YDR301W,CFT1
11,YLR115W,CFT2
96,YML036W,CGI121
267,YGL206C,CHC1
15,YER164W,CHD1
24,YDR254W,CHL4
382,YNL192W,CHS1
146,YLR330W,CHS5
110,YDR267C,CIA1
20,YHR052W,CIC1
105,YDR022C,CIS1
15,YIL035C,CKA1
15,YOR061W,CKA2
15,YGL019W,CKB1
15,YOR039W,CKB2
39,YLR133W,CKI1
43,YBR135W,CKS1
43,YPR119W,CLB2
43,YDL155W,CLB3
43,YLR210W,CLB4
267,YGR167W,CLC1
16,YLR117C,CLF1
43,YMR199W,CLN1
43,YPL256C,CLN2
115,YOR250C,CLP1
199,YMR012W,CLU1
33,YBR109C,CMD1
155,YML057W,CMP2
155,YLR433C,CNA1
155,YKL190W,CNB1
40,YGL223C,COG1
