YKR088C,punctate composite,
YKR089C,lipid particle,
YKR100C,bud,
YKR100C,cell periphery,
YGR174C,mitochondrion,
YMR054W,early Golgi,
YMR054W,late Golgi,
YDR178W,mitochondrion,
YHR001W-A,mitochondrion,inner
YLR109W,cytoplasm,
YLR109W,nucleus,
YBL037W,bud neck,
YBL037W,cell periphery,
YBR015C,Golgi,
YBR054W,bud,
YBR054W,cell periphery,
YBR068C,cell periphery,
YBR068C,vacuole,
YBR069C,bud,
YBR069C,cell periphery,
YBR104W,mitochondrion,inner
YBR132C,ER,
YBR008C,cell periphery,
YBR008C,vacuole,
YBR205W,vacuole,
YBR199W,vacuole,
YBR222C,cytoplasm,
YBR241C,vacuolar membrane,
YBR264C,cytoplasm,
YBR291C,mitochondrion,inner
YBR288C,early Golgi,
YBR288C,punctate composite,
YBL102W,early Golgi,
YBL095W,mitochondrion,
YBL082C,cytoplasm,
YBL082C,vacuole,
YBL079W,nuclear periphery,
YBL042C,bud,
YBL042C,cell periphery,
YBR041W,lipid particle,
YBR042C,lipid particle,
YBR043C,cell periphery,
YBR077C,vacuolar membrane,
YBR086C,cell periphery,
YBR090C,cytoplasm,
YBR090C,nucleus,
YBR105C,cytoplasm,
YBR105C,nucleus,
YBR106W,ER,
YBR131W,endosome,
YBR159W,ER,
YBR161W,vacuole,
YBR179C,mitochondrion,outer
YBR185C,mitochondrion,inner
YBR187W,vacuole,
YBR207W,vacuolar membrane,
YBR230C,mitochondrion,outer
YBR255W,punctate composite,
YBR265W,ER,
YBR283C,ER,
YBR287W,ER,
YBR290W,ER,
YBR290W,vacuole,
YBR296C,ER,
YBR302C,vacuole,
YML132W,vacuole,
YBR162W-A,ER,
YMR264W,cytoplasm,
YMR264W,ER,
YER031C,cytoplasm,
YER031C,nucleus,
YHR072W,lipid particle,
YIL043C,ER,
YLR342W,vacuole,
YHL019C,late Golgi,
YHL003C,ER,
YHL040C,endosome,
YHL040C,vacuole,
YHL036W,vacuole,
YHL028W,vacuole,
YHL017W,late Golgi,
YHL008C,vacuole,
YHL002W,endosome,
YHR004C,punctate composite,
YHR036W,ER,
YHR045W,ER,
YHR101C,ER,
YHR110W,ER,
YHR133C,nuclear periphery,
YHR140W,vacuole,
YHR142W,bud,
YHR142W,bud neck,
YHR142W,cytoplasm,
YHR142W,vacuole,
YHR175W,ER,
YHR181W,ER,
YHR186C,vacuolar membrane,
YHR192W,cytoplasm,
YHR194W,nucleus,
YHR195W,nucleus,
YHR195W,spindle pole,
YOR037W,mitochondrion,inner
YNL003C,mitochondrion,inner
YIL140W,bud,
YIL140W,bud neck,
YIL140W,cell periphery,
YIL140W,vacuole,
YGL006W,vacuolar membrane,
YGL095C,early Golgi,
YGL095C,late Golgi,
YDR079W,mitochondrion,inner
YDR084C,early Golgi,
YDR084C,late Golgi,
YDR084C,punctate composite,
YOL020W,cell periphery,
YOL020W,vacuole,
YDL195W,ER to Golgi,
YOR266W,mitochondrion,inner
YDR297W,ER,
YMR058W,bud,
YMR058W,cell periphery,
YMR058W,ER,
YDR270W,punctate composite,
YDR343C,cell periphery,
YNL169C,mitochondrion,inner
YGL022W,ER,
YDR264C,early Golgi,
YDR264C,Golgi,
YLR088W,ER,
YLR090W,mitochondrion,
YLR090W,nucleus,
YML129C,mitochondrion,inner
YER001W,vacuole,
YPL050C,Golgi,
YDR135C,vacuolar membrane,
YJL143W,cytoplasm,
YJL143W,nucleus,
YAL026C,early Golgi,
YAL026C,late Golgi,
YJL198W,ER,
YJL196C,ER,
YJL192C,ER,
YMR129W,nuclear periphery,
YAL007C,ER,
YAL055W,punctate composite,
YAL053W,bud,
YAL053W,bud neck,
YAL053W,cell periphery,
YAL053W,late Golgi,
YAL053W,punctate composite,
YDR484W,punctate composite,
YER017C,mitochondrion,
YMR183C,endosome,
YMR183C,punctate composite,
YIL147C,cell periphery,
YLR025W,endosome,
YER154W,mitochondrion,inner
YEL006W,mitochondrion,inner
YER047C,cytoplasm,
YER123W,vacuole,
YEL013W,vacuolar membrane,
YEL065W,vacuole,
YEL031W,ER,
YEL025C,cytoplasm,
YEL025C,nucleus,
YEL022W,cytoplasm,
YEL022W,early Golgi,
YEL017W,nuclear periphery,
YEL001C,ER,
YER005W,early Golgi,
YER005W,Golgi,
YER014W,mitochondrion,
YER044C,ER,
YER053C,mitochondrion,inner
YER072W,ER,
YER083C,ER,
YER113C,early Golgi,
YER113C,Golgi,
YER118C,bud neck,
YER118C,cell periphery,
YER118C,cytoplasm,
YER120W,ER,
YER141W,mitochondrion,inner
YER143W,cytoplasm,
YER145C,cell periphery,
YER157W,early Golgi,
YER157W,Golgi,
YER182W,mitochondrion,
YGL225W,early Golgi,
YGL225W,Golgi,
YGL225W,punctate composite,
YNL214W,peroxisome,
YNL194C,cell periphery,
YMR134W,ER,
YMR148W,lipid particle,
YGR121C,cell periphery,
YMR313C,lipid particle,
YMR313C,punctate composite,
YNL111C,ER,
YIL030C,ER,
YLR372W,ER,
YMR089C,mitochondrion,
YNR006W,endosome,
YPL227C,ER,
YOR377W,ER,
YJL062W,ER,
YMR301C,mitochondrion,inner
YIL173W,endosome,
YIL158W,vacuole,
