_group828.mitochondrion,_group828.unknown
_group834.cytoplasm,_group834.nucleus
_group835.cytoplasm,_group835.nucleus
_group837.cytoplasm,_group837.early Golgi
_group837.early Golgi,_group837.punctate composite
_group838.cytoplasm,_group838.punctate composite
_group838.punctate composite,_group838.peroxisome
_group838.peroxisome,_group838.unknown
_group845.mitochondrion,_group845.punctate composite
_group846.mitochondrion,_group846.vacuole
_group846.vacuole,_group846.unknown
_group852.cytoplasm,_group852.nucleus
_group867.nucleus,_group867.nucleolus
_group867.nucleolus,_group867.microtubule
_group868.cytoplasm,_group868.endosome
_group870.cytoplasm,_group870.nucleus
_group870.nucleus,_group870.unknown
_group871.cytoplasm,_group871.nucleus
_group872.cytoplasm,_group872.nucleus
_group872.nucleus,_group872.nucleolus
_group881.cytoplasm,_group881.nucleus
_group886.cytoplasm,_group886.nucleus
_group886.nucleus,_group886.ER
_group886.ER,_group886.unknown
_group893.cytoplasm,_group893.unknown
_group894.cytoplasm,_group894.nucleus
_group897.cytoplasm,_group897.nucleus
_group897.nucleus,_group897.nucleolus
_group897.nucleolus,_group897.unknown
_group9.cytoplasm,_group9.nucleus
_group9.nucleus,_group9.ER
_group9.ER,_group9.spindle pole
_group9.spindle pole,_group9.punctate composite
_group9.punctate composite,_group9.vacuolar membrane
_group9.vacuolar membrane,_group9.vacuole
_group9.vacuole,_group9.unknown
_group908.cytoplasm,_group908.nucleus
_group908.nucleus,_group908.unknown
_group909.nucleus,_group909.mitochondrion
_group910.cytoplasm,_group910.nucleus
_group911.cytoplasm,_group911.early Golgi
_group911.early Golgi,_group911.Golgi
_group916.cytoplasm,_group916.bud neck
_group916.bud neck,_group916.cell periphery
_group916.cell periphery,_group916.bud
_group916.bud,_group916.vacuolar membrane
_group916.vacuolar membrane,_group916.microtubule
_group916.microtubule,_group916.unknown
_group920.cytoplasm,_group920.mitochondrion
_group920.mitochondrion,_group920.unknown
_group928.ER,_group928.vacuole
_group928.vacuole,_group928.unknown
_group942.nucleus,_group942.unknown
_group948.cytoplasm,_group948.unknown
_group957.cytoplasm,_group957.nucleus
_group957.nucleus,_group957.microtubule
_group957.microtubule,_group957.unknown
_group961.cytoplasm,_group961.nucleus
_group97.cytoplasm,_group97.nucleus
_group978.cytoplasm,_group978.nucleus
_group980.cytoplasm,_group980.vacuole
_group986.cytoplasm,_group986.bud neck
_group986.bud neck,_group986.cell periphery
_group986.cell periphery,_group986.bud
_group986.bud,_group986.unknown
_group988.cytoplasm,_group988.nucleus
_group988.nucleus,_group988.endosome
_group988.endosome,_group988.early Golgi
_group988.early Golgi,_group988.spindle pole
_group988.spindle pole,_group988.vacuole
_group988.vacuole,_group988.unknown
_group993.cytoplasm,_group993.nucleus
_group993.nucleus,_group993.unknown
_group995.cytoplasm,_group995.nucleus
_group999.cytoplasm,_group999.nucleus
doubleton1.mitochondrion,doubleton1.unknown
doubleton10.cytoplasm,doubleton10.nucleus
doubleton10.nucleus,doubleton10.unknown
doubleton11.nucleus,doubleton11.unknown
doubleton12.cytoplasm,doubleton12.ER
doubleton12.ER,doubleton12.punctate composite
doubleton13.mitochondrion,doubleton13.unknown
doubleton14.ER,doubleton14.vacuole
doubleton17.cytoplasm,doubleton17.punctate composite
doubleton19.cytoplasm,doubleton19.nucleus
doubleton2.cytoplasm,doubleton2.unknown
doubleton21.cytoplasm,doubleton21.nucleus
doubleton21.nucleus,doubleton21.unknown
doubleton22.punctate composite,doubleton22.unknown
doubleton26.cytoplasm,doubleton26.mitochondrion
doubleton26.mitochondrion,doubleton26.unknown
doubleton27.bud neck,doubleton27.cell periphery
doubleton27.cell periphery,doubleton27.bud
doubleton3.nucleus,doubleton3.punctate composite
doubleton30.cytoplasm,doubleton30.nucleus
doubleton30.nucleus,doubleton30.unknown
doubleton31.ER,doubleton31.unknown
doubleton34.ER,doubleton34.vacuole
doubleton34.vacuole,doubleton34.unknown
doubleton35.cytoplasm,doubleton35.nucleus
doubleton39.cell periphery,doubleton39.unknown
doubleton41.nucleus,doubleton41.unknown
doubleton42.cytoplasm,doubleton42.mitochondrion
doubleton42.mitochondrion,doubleton42.punctate composite
doubleton43.ER,doubleton43.unknown
doubleton46.cytoplasm,doubleton46.unknown
doubleton47.cytoplasm,doubleton47.nucleus
doubleton48.cytoplasm,doubleton48.nucleus
doubleton5.cytoplasm,doubleton5.nucleus
doubleton5.nucleus,doubleton5.unknown
doubleton9.cytoplasm,doubleton9.nucleus
doubleton9.nucleus,doubleton9.mitochondrion
hart et al 1.cytoplasm,hart et al 1.nucleus
hart et al 1.nucleus,hart et al 1.nucleolus
hart et al 1.nucleolus,hart et al 1.unknown
hart et al 10.cytoplasm,hart et al 10.nucleus
hart et al 10.nucleus,hart et al 10.nuclear periphery
hart et al 10.nuclear periphery,hart et al 10.nucleolus
hart et al 10.nucleolus,hart et al 10.unknown
hart et al 100.punctate composite,hart et al 100.actin
hart et al 102.cytoplasm,hart et al 102.nucleus
hart et al 103.cytoplasm,hart et al 103.bud neck
hart et al 103.bud neck,hart et al 103.cell periphery
hart et al 103.cell periphery,hart et al 103.bud
hart et al 103.bud,hart et al 103.actin
hart et al 103.actin,hart et al 103.unknown
hart et al 104.cytoplasm,hart et al 104.punctate composite
hart et al 105.cytoplasm,hart et al 105.nucleus
hart et al 105.nucleus,hart et al 105.punctate composite
hart et al 106.nucleus,hart et al 106.unknown
hart et al 107.cytoplasm,hart et al 107.nucleus
hart et al 107.nucleus,hart et al 107.nucleolus
hart et al 108.ER,hart et al 108.punctate composite
hart et al 108.punctate composite,hart et al 108.vacuolar membrane
hart et al 11.cytoplasm,hart et al 11.nucleus
hart et al 11.nucleus,hart et al 11.ER
hart et al 11.ER,hart et al 11.punctate composite
hart et al 11.punctate composite,hart et al 11.unknown
hart et al 110.cytoplasm,hart et al 110.unknown
hart et al 111.cytoplasm,hart et al 111.nucleus
hart et al 113.cytoplasm,hart et al 113.nucleus
hart et al 114.cytoplasm,hart et al 114.nucleus
hart et al 114.nucleus,hart et al 114.bud neck
hart et al 115.nucleus,hart et al 115.unknown
hart et al 116.endosome,hart et al 116.punctate composite
hart et al 116.punctate composite,hart et al 116.unknown
hart et al 117.cytoplasm,hart et al 117.nucleus
hart et al 117.nucleus,hart et al 117.actin
hart et al 118.cytoplasm,hart et al 118.unknown
hart et al 119.cytoplasm,hart et al 119.nucleus
hart et al 12.cytoplasm,hart et al 12.nucleus
hart et al 12.nucleus,hart et al 12.unknown
hart et al 120.ER to Golgi,hart et al 120.unknown
hart et al 121.cytoplasm,hart et al 121.nucleus
hart et al 121.nucleus,hart et al 121.nuclear periphery
hart et al 122.cytoplasm,hart et al 122.nucleus
hart et al 122.nucleus,hart et al 122.mitochondrion
hart et al 124.cytoplasm,hart et al 124.nucleus
hart et al 124.nucleus,hart et al 124.vacuole
hart et al 126.cytoplasm,hart et al 126.unknown
hart et al 128.nucleus,hart et al 128.mitochondrion
hart et al 129.bud neck,hart et al 129.cell periphery
hart et al 129.cell periphery,hart et al 129.unknown
hart et al 13.cytoplasm,hart et al 13.nucleus
hart et al 13.nucleus,hart et al 13.mitochondrion
hart et al 13.mitochondrion,hart et al 13.late Golgi
hart et al 13.late Golgi,hart et al 13.bud neck
hart et al 13.bud neck,hart et al 13.cell periphery
hart et al 13.cell periphery,hart et al 13.bud
hart et al 13.bud,hart et al 13.punctate composite
hart et al 13.punctate composite,hart et al 13.unknown
hart et al 130.cytoplasm,hart et al 130.nucleus
hart et al 130.nucleus,hart et al 130.ER
hart et al 130.ER,hart et al 130.cell periphery
hart et al 130.cell periphery,hart et al 130.vacuole
hart et al 131.endosome,hart et al 131.vacuole
hart et al 132.cytoplasm,hart et al 132.nucleus
hart et al 132.nucleus,hart et al 132.unknown
hart et al 133.cytoplasm,hart et al 133.nucleus
hart et al 133.nucleus,hart et al 133.vacuole
hart et al 134.cytoplasm,hart et al 134.nucleus
hart et al 134.nucleus,hart et al 134.unknown
hart et al 136.cytoplasm,hart et al 136.nucleus
hart et al 138.cytoplasm,hart et al 138.nucleus
hart et al 139.cytoplasm,hart et al 139.nucleus
hart et al 139.nucleus,hart et al 139.actin
hart et al 139.actin,hart et al 139.unknown
hart et al 14.cytoplasm,hart et al 14.nucleus
hart et al 14.nucleus,hart et al 14.unknown
hart et al 140.cytoplasm,hart et al 140.ER
hart et al 141.early Golgi,hart et al 141.Golgi
hart et al 141.Golgi,hart et al 141.unknown
hart et al 142.cytoplasm,hart et al 142.nucleus
hart et al 142.nucleus,hart et al 142.ER
hart et al 145.cytoplasm,hart et al 145.nucleus
hart et al 145.nucleus,hart et al 145.punctate composite
hart et al 147.cytoplasm,hart et al 147.nucleus
hart et al 147.nucleus,hart et al 147.unknown
hart et al 148.cytoplasm,hart et al 148.nucleus
hart et al 149.nucleus,hart et al 149.unknown
