YDR052C.cytoplasm,YDR052C.nucleus
YDR054C.cytoplasm,YDR054C.nucleus
YDR075W.cytoplasm,YDR075W.nucleus
YDR076W.cytoplasm,YDR076W.nucleus
YDR080W.vacuolar membrane,YDR080W.vacuole
YDR087C.nucleus,YDR087C.nucleolus
YDR093W.cell periphery,YDR093W.bud
YDR098C.cytoplasm,YDR098C.nucleus
YDR099W.cytoplasm,YDR099W.nucleus
YDR103W.cytoplasm,YDR103W.nucleus
YDR118W.cytoplasm,YDR118W.nucleus
YDR121W.cytoplasm,YDR121W.nucleus
YDR130C.cytoplasm,YDR130C.nucleus
YDR130C.cytoplasm,YDR130C.spindle pole
YDR130C.nucleus,YDR130C.spindle pole
YDR140W.cytoplasm,YDR140W.nucleus
YDR141C.early Golgi,YDR141C.punctate composite
YDR146C.cytoplasm,YDR146C.nucleus
YDR155C.cytoplasm,YDR155C.nucleus
YDR164C.cytoplasm,YDR164C.bud neck
YDR164C.cytoplasm,YDR164C.bud
YDR164C.bud neck,YDR164C.bud
YDR166C.bud neck,YDR166C.cell periphery
YDR166C.bud neck,YDR166C.bud
YDR166C.cell periphery,YDR166C.bud
YDR173C.cytoplasm,YDR173C.nucleus
YDR181C.cytoplasm,YDR181C.nucleus
YDR184C.cytoplasm,YDR184C.nucleus
YDR189W.early Golgi,YDR189W.Golgi
YDR217C.cytoplasm,YDR217C.nucleus
YDR233C.ER,YDR233C.cell periphery
YDR238C.early Golgi,YDR238C.Golgi
YDR253C.cytoplasm,YDR253C.nucleus
YDR264C.early Golgi,YDR264C.Golgi
YDR280W.nucleus,YDR280W.nucleolus
YDR288W.cytoplasm,YDR288W.nucleus
YDR309C.cytoplasm,YDR309C.bud
YDR318W.nucleus,YDR318W.spindle pole
YDR325W.nucleus,YDR325W.nucleolus
YDR328C.cytoplasm,YDR328C.nucleus
YDR330W.cytoplasm,YDR330W.nucleus
YDR335W.cytoplasm,YDR335W.nucleus
YDR335W.cytoplasm,YDR335W.nuclear periphery
YDR335W.nucleus,YDR335W.nuclear periphery
YDR348C.bud neck,YDR348C.cell periphery
YDR353W.cytoplasm,YDR353W.nucleus
YDR358W.cytoplasm,YDR358W.late Golgi
YDR361C.cytoplasm,YDR361C.nucleus
YDR364C.cytoplasm,YDR364C.nucleus
YDR365C.nucleus,YDR365C.nucleolus
YDR369C.cytoplasm,YDR369C.nucleus
YDR395W.cytoplasm,YDR395W.nucleus
YDR409W.cytoplasm,YDR409W.nucleus
YDR412W.nucleus,YDR412W.nucleolus
YDR423C.cytoplasm,YDR423C.nucleus
YDR425W.cytoplasm,YDR425W.endosome
YDR425W.cytoplasm,YDR425W.lipid particle
YDR425W.endosome,YDR425W.lipid particle
YDR440W.cytoplasm,YDR440W.nucleus
YDR443C.cytoplasm,YDR443C.nucleus
YDR457W.nucleus,YDR457W.nucleolus
YDR479C.cytoplasm,YDR479C.punctate composite
YDR480W.cytoplasm,YDR480W.nucleus
YDR496C.nucleus,YDR496C.nucleolus
YDR499W.cytoplasm,YDR499W.nucleus
YDR507C.cytoplasm,YDR507C.bud neck
YDR507C.cytoplasm,YDR507C.bud
YDR507C.bud neck,YDR507C.bud
YDR510W.cytoplasm,YDR510W.nucleus
